MA, MC, MC, MC, MC, MA, MA, MA, MB, MD, MD, MD, MD, MB, MB, MB, MA, MC, MC, MC, MC, MA, MA, MA, MB, MD, MD, MD, MD, MB, MB, MB, MB, MB, MB, MD, MD, MD, MD, MB, MB, MB, MB, MD, MD, MD, MD, MB, MB, MB, MB, MD, MD, MD, MD, MB, MA, MA, MA, MC, MC, MC, MC, MA
MA, MC, MC, MC, MC, MA, MA, MA, MA, MC, MC, MC, MC, MA, MA, MA, MA, MC, MC, MC, MC, MA, MA, MA, MB, MD, MD, MD, MD, MB, MB, MB, MA, MA, MA, MC, MC, MC, MC, MA, MB, MB, MB, MD, MD, MD, MD, MB, MB, MB, MB, MD, MD, MD, MD, MB, MA, MA, MA, MC, MC, MC, MC, MA
MA, MC, MC, MC, MC, MA, MA, MA, MB, MD, MD, MD, MD, MB, MB, MB, MB, MD, MD, MD, MD, MB, MB, MB, MA, MC, MC, MC, MC, MA, MA, MA, MB, MB, MB, MD, MD, MD, MD, MB, MA, MA, MA, MC, MC, MC, MC, MA, MA, MA, MA, MC, MC, MC, MC, MA, MA, MA, MA, MC, MC, MC, MC, MA
MA, MC, MC, MC, MC, MA, MA, MA, MB, MD, MD, MD, MD, MB, MB, MB, MB, MD, MD, MD, MD, MB, MB, MB, MB, MD, MD, MD, MD, MB, MB, MB, MB, MB, MB, MD, MD, MD, MD, MB, MA, MA, MA, MC, MC, MC, MC, MA, MB, MB, MB, MD, MD, MD, MD, MB, MA, MA, MA, MC, MC, MC, MC, MA

R0, R0, MY, R0, MY, MY, R0, MY, R0, R0, MY, R0, MY, MY, R0, MY, R0, R0, MY, R0, MY, MY, R0, MY, R0, R0, MY, R0, MY, MY, R0, MY, R0, MY, R0, R0, MY, R0, MY, MY, R0, MY, R0, R0, MY, R0, MY, MY, R0, MY, R0, R0, MY, R0, MY, MY, R0, MY, R0, R0, MY, R0, MY, MY
R0, R0, MY, R0, MY, MY, R0, MY, R0, R0, MY, R0, MY, MY, R0, MY, R0, R0, MY, R0, MY, MY, R0, MY, R0, R0, MY, R0, MY, MY, R0, MY, R0, MY, R0, R0, MY, R0, MY, MY, R0, MY, R0, R0, MY, R0, MY, MY, R0, MY, R0, R0, MY, R0, MY, MY, R0, MY, R0, R0, MY, R0, MY, MY
R0, R0, MY, R0, MY, MY, R0, MY, R0, R0, MY, R0, MY, MY, R0, MY, R0, R0, MY, R0, MY, MY, R0, MY, R0, R0, MY, R0, MY, MY, R0, MY, R0, MY, R0, R0, MY, R0, MY, MY, R0, MY, R0, R0, MY, R0, MY, MY, R0, MY, R0, R0, MY, R0, MY, MY, R0, MY, R0, R0, MY, R0, MY, MY
R0, R0, MY, R0, MY, MY, R0, MY, R0, R0, MY, R0, MY, MY, R0, MY, R0, R0, MY, R0, MY, MY, R0, MY, R0, R0, MY, R0, MY, MY, R0, MY, R0, MY, R0, R0, MY, R0, MY, MY, R0, MY, R0, R0, MY, R0, MY, MY, R0, MY, R0, R0, MY, R0, MY, MY, R0, MY, R0, R0, MY, R0, MY, MY


