MA, MC, MC, MA, MA, MC, MC, MA, MA, MC, MC, MA, MA, MC, MC, MA, MB, MD, MD, MB, MB, MD, MD, MB, MB, MD, MD, MB, MB, MD, MD, MB, MB, MD, MD, MB, MB, MD, MD, MB, MB, MD, MD, MB, MB, MD, MD, MB, MA, MC, MC, MA, MA, MC, MC, MA, MA, MC, MC, MA, MA, MC, MC, MA
MA, MC, MC, MA, MA, MC, MC, MA, MA, MC, MC, MA, MA, MC, MC, MA, MB, MD, MD, MB, MB, MD, MD, MB, MB, MD, MD, MB, MB, MD, MD, MB, MB, MD, MD, MB, MB, MD, MD, MB, MB, MD, MD, MB, MB, MD, MD, MB, MA, MC, MC, MA, MA, MC, MC, MA, MA, MC, MC, MA, MA, MC, MC, MA
MA, MC, MC, MA, MA, MC, MC, MA, MA, MC, MC, MA, MA, MC, MC, MA, MB, MD, MD, MB, MB, MD, MD, MB, MB, MD, MD, MB, MB, MD, MD, MB, MB, MD, MD, MB, MB, MD, MD, MB, MB, MD, MD, MB, MB, MD, MD, MB, MA, MC, MC, MA, MA, MC, MC, MA, MA, MC, MC, MA, MA, MC, MC, MA
MA, MC, MC, MA, MA, MC, MC, MA, MA, MC, MC, MA, MA, MC, MC, MA, MB, MD, MD, MB, MB, MD, MD, MB, MB, MD, MD, MB, MB, MD, MD, MB, MB, MD, MD, MB, MB, MD, MD, MB, MB, MD, MD, MB, MB, MD, MD, MB, MA, MC, MC, MA, MA, MC, MC, MA, MA, MC, MC, MA, MA, MC, MC, MA

R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY
R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY
R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY
R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY, R0, R0, MY, MY


